ID_Objetivo;Texto_Objetivo;ID_Objetivo_Prerrequisito;Texto_Prerrequisito;Importancia
ICI_3202-1;Formular modelos matemáticos de optimización para resolver problemas reales  relacionados con la industria.;ICI_3101-2;Clasificar matemáticamente los distintos tipos de problemas de optimización lineal,  estudiar sus formulaciones y detallar los algoritmos más conocidos que existen  para su resolución.;Alta
ICE_4101-3;Analizar, discutir y documentar.;ICE_4104-1;Comprender las relaciones entre variables eléctricas y magnéticas en  circuitoselectromagnéticos.;Ninguna
ICC_4203-1;Identificar los requisitos funcionales de una aplicación móvil y prototipar  su diseño de interfaz.;ICC_4204-3;Utilizar técnicas de control de cambios en los requisitos.;Ninguna
ICI_4230-2;Aplicar y entender distintos modelos de valoración de activos.;ICC_3204-1;Diseñar un modelo de datos de alto nivel que solucione un problema abierto.;Ninguna
ING_2202-5;Usar herramientas de cálculo diferencial e integral en varias variables para resolver  problemas concretos.;ING_2102-4;Calcular integrales múltiples, permitiendo identificar las aplicaciones más  importantes del Cálculo Integral (cálculo de volúmenes, masas, momentos de  inercia, etc.);Alta
ICE_3201-1;Conocer el funcionamiento y aplicaciones de los principales dispositivos  electrónicos semiconductores como: los diodos, transistores y  amplificadores operacionales.;ICE_3101-1;Conocer los elementos básicos de circuitos eléctricos, así como las  relaciones voltaje-corriente en cada uno de ellos.;Alta
IOC_5203-1;Establecer relaciones entre la microestructura de mezclas cementicias y  propiedades del material en un elemento de hormigón armado.;IOC_5107-5;Can use an open-source pre/post-processing software to visualize  results of finite-elementsimulations.;Ninguna
ICI_4202-5;Identificar las herramientas de software más adecuada, para realizar un  proyecto de simulacióncomplejo en diferentes ámbitos.;ICA_3210-1;Entender los fundamentos físicos de los fenómenos de transferencia de  masa.;Ninguna
ICI_5000-7;Conocer y aplicar las herramientas computacionales para la solución y aplicación  de distintos métodos de Minería de Datos.;ICC_4203-2;Diseñar la arquitectura de una aplicación móvil.;Ninguna
ICC_3100-1;Describir los conceptos y reglas de los paradigmas de programación procedural,  orientada a objetos y funcional.;ICC_3204-2;Implementar el modelo de datos bajo el modelo relacional.;Ninguna
ING_5206-2;Tomar Decisiones Éticas: Aplicar modelos y marcos éticos para tomar  decisiones responsables en situaciones complejas.;ING_1100-3;Entender los principales conceptos de la trigonometría resolviendo ecuaciones  trigonométricas.;Ninguna
IOC_6102-3;Demostrar actitud proactiva, analítica y de mejora continua en el desarrollo de  proyectos de ingeniería.;IOC_5204-4;Aplica la norma chilena de diseño sismorresistente de edificios.;Ninguna
ICI_5130-1;Through understanding of the main logistics activities in a supply chain.;ING_5206-4;Promover un Entorno Laboral Ético: Implementar y promover prácticas  laborales justas y seguras, incluyendo igualdad, no discriminación,  inclusión, diversidad y bienestar laboral.;Ninguna
ICI_5130-4;Apply a wide range of analytical tools to support supply chain decisions.;ICI_3202-3;Implementar computacionalmente las metodologías diseñadas para resolver los  modelos en entornos reales.;Alta
ICE_5204-1;Understand the basics of different AI techniques, models and paradigms.;ING_2201-1;Comprender los conceptos básicos de la teoría de probabilidades y desarrollar  las técnicas fundamentales para el cálculo de probabilidades.;Alta
ICI_6100-2;Analizar la dinámica y potencialidades de las nuevas innovaciones basadas en las  TICs.;ICI_4202-4;Analizar los beneficios económicos que se podrían obtener, a través de  cambios en lasconfiguraciones de los procesos y optimización de  recursos.;Alta
ICA_6110-4;Aplicar herramientas de gestión ambiental a procesos industriales con el fin de  minimizar efectos adversos en el medioambiente.;ICA_5130-2;Identificar los conceptos y aplicaciones ambientales de mayor uso en la disciplina.;Media
IOC_6101-2;Desarrollar la capacidad de trabajo en equipo, en un ambiente de colaboración  activa entre pares y académicos.;IOC_5203-4;Modelar y entender el proceso de hidratación del cemento, pudiendo  entender sus implicaciones en el desarrollo de propiedades y durabilidad  del material.;Ninguna
ING_1102-9;Resolver problemas que involucren el uso del concepto de equilibrio químico en  sistemas de reactivos y ácido-base. Considerando condiciones iniciales determinar  concentraciones o presiones en el equilibrio o viceversa.;ING_5203-2;Habilidad para hacer síntesis de gran cantidad de información durante la  revisión del estado del arte que sustente su tema de investigación.;Ninguna
ICC_3201-1;;ICC_3203-1;Describir e implementar estructuras de datos y algoritmos para variados  propósitos, y de distinta complejidad en lo relativo a espacio de memoria  y tiempo de ejecución.;Ninguna
ICI_5130-4;Apply a wide range of analytical tools to support supply chain decisions.;ICI_3202-1;Formular modelos matemáticos de optimización para resolver problemas reales  relacionados con la industria.;Alta
IOC_3201-1;Determina reacciones, esfuerzos internos, tensiones y desplazamientos de estructuras isostáticas empleando las ecuaciones de equilibrio y principios de mecánica de materiales.;IOC_3101-5;Estimar los esfuerzos y deformadas de ejes en torsión y de vigas en flexión.;Alta
ICC_4204-2;Desarrollar requisitos claros y precisos para el desarrollo de un nuevo  producto de software, utilizando diferentes técnicas, entre ellas la de  casos de uso.;ICC_4130-2;Conduct requirements analysis and design for web application development,  including specification of user stories, definition of a domain model, and prototyping  of the user interface.;Alta
IOC_5105-3;Diseñar conceptualmente y analizar redes de agua potable y aguas  servidas o residuales;ING_1400-2;Organizar mejor sus actividades académicas y extracurriculares para poder tener  una vida balanceada.;Ninguna
ICI_5200-3;Conocer los principales esquemas de solución de problemas  secuenciales de decisión en tiempo discretovía esquemas de  aprendizaje reforzado.;ING_2203-6;Identificar si un proceso es posible o no según la segunda ley de la Termodinámica.;Ninguna
IOC_4103-5;Comprender y analizar singularidades como: aforadores, disipadores,  vertederos y estructuras dedistribución y control de flujo en canales  abiertos;IOC_3203-4;Apply models to simple fluid mechanics problems, considering their  limitations and strengths.;Alta
ICI_3201-3;Extrapolar sus conocimientos a este respecto a otros entornos y problemas de  ingeniería, a modo de cuantificar, manejar y proponer esquemas que permitan obtener un mejor desempeño económico (costo o beneficio) ante la presencia de  fenómenos estocásticos.;ICI_3101-1;Introducir al alumno en el campo de la optimización lineal y su uso en la  modelación y resolución de problemas reales.;Media
ICE_4203-2;Entiende la utilidad del Sistema Por Unidad y es capaz de aplicarlo en  resolución de problemas estáticos asociados a Sistemas de Potencia.;ING_2101-5;Reconocer los métodos numéricos para resolver una Ecuación Diferencial  Ordinaria;Ninguna
ICA_3240-1;Comprender el campo científico de la biotecnología, destacando la importancia  dentro del mismo de los procesos microbianos industriales y ambientales.;ING_5203-6;Habilidad para aplicar sus bases éticas en la elección y desarrollo de su  tema de estudio, resguardando el respeto de normas de conducta  profesional consistentes con su formación profesional.;Ninguna
ICA_3102-3;Reconocer los principios termodinámicos de bombas de calor para aplicarlos a la  solución de problemas de dimensionamiento o determinación de condiciones de  operación.;ICA_7000-2;Habilidad de desarrollar análisis de procesos y su representación en  diagrama de flujo.;Ninguna
ICA_3210-3;Entender de los fenómenos de difusión, convección y interface, y su  aplicación en sistemas de transferencia de masa.;ING_1203-10;Aplicar conceptos de momentos lineal y angular.;Ninguna
IOC_5120-3;Identificar distintos tipos de solicitación en estructuras de acero;IOC_3201-5;Define los grados de libertad (GDL) y el grado de indeterminación cinemático (GIC), planteando y resolviendo el sistema de ecuaciones de equilibrio por el método de rigidez para determinar desplazamientos, reacciones y esfuerzos internos en estructuras sujetas a diversas condiciones de carga. Aplica los principios de condensación estática y de sub-estructuración.;Alta
ICE_4202-1;Reconocer la importancia del control automático en diversos sistemas, en  particular el control de sistemas lineales.;ING_2103-6;Distinguir entre situaciones de rotación pura y situaciones donde el cuerpo sufre  rotación y traslación.;Alta
ICI_4120-1;Tomar decisiones óptimas de inversiones de capital e inversiones financieras, como  así también decisiones de financiamiento a través de la emisión de distintos  instrumentos financieros de renta fija y de renta variable.;ING_1102-10;Elaborar ensayos reconociendo e identificando los aportes y descubrimientos de  los principales científicos que han contribuido al desarrollo de la química, de  manera autónoma y rigurosa, fortaleciendo habilidades transversales como es la  expresión escrita.;Ninguna
ICC_4200-2;Elaborar un plan de resolución del problema, incluyendo definir plataforma de  trabajo, capacidad del microcontrolador, compatibilidad con diversos sensores y  efectores, manejo de costos, etc.;ING_1203-11;Aplicar conceptos de energía y trabajo.;Ninguna
ICA_3240-3;Reconocer los componentes más importantes en el crecimiento de  microorganismos, como son los factores ambientales, diseño de un medio de  cultivo, etc.;IOC_5204-4;Aplica la norma chilena de diseño sismorresistente de edificios.;Ninguna
ICA_3102-6;Identificar y explicar el proceso de la combustión desde un punto de vista  termodinámico aplicando principios de procesos de combustión.;ICA_4120-2;Dominar conceptos, herramientas de diseño y métodos de cálculo y asociaciones a  sistemas de separación por transferencia de masa y sus aplicaciones.;Ninguna
ING_1203-11;Aplicar conceptos de energía y trabajo.;ING_1100-3;Entender los principales conceptos de la trigonometría resolviendo ecuaciones  trigonométricas.;Media
ICC_6101-2;Planificar un proyecto de empresa de software, incluyendo el análisis detallado del  modelo de negocios.;ING_2203-3;Verificar experimentalmente las leyes de la Termodinámica y la ley de gases  ideales.;Ninguna
ICI_5010-3;Modelar el comportamiento de una serie de tiempo.;ICI_4110-2;Tendrá la habilidad de implementar técnicas econométricas básicas.;Alta
ING_2203-8;Resolver problemas aplicados utilizando propiedades termodinámicas de fluidos y  gases.;ING_1100-1;Resolver operaciones de conjuntos, sumatorias, polinomios, así como  demostraciones por inducción.;Ninguna
ICI_3202-1;Formular modelos matemáticos de optimización para resolver problemas reales  relacionados con la industria.;ICI_3101-1;Introducir al alumno en el campo de la optimización lineal y su uso en la  modelación y resolución de problemas reales.;Alta
IOC_4103-4;Diseñar canales en escurrimiento uniforme;IOC_3203-2;Apply analytical solutions to known simple fluid flows by solving fundamental fluid  mechanics problems.;Alta
ICI_6010-5;Demostrar habilidades en la recopilación, análisis e interpretación de información  financiera.;ICI_4230-1;Calcular e interpretar distintos indicadores de rentabilidad y riesgo.;Alta
ICA_4210-1;"Desarrollar diseños de procesos utilizando una metodología estructurada;";IOC_4010-4;Conocer principios de regulación de intersecciones.;Ninguna
ICI_6100-2;Analizar la dinámica y potencialidades de las nuevas innovaciones basadas en las  TICs.;ICI_3102-3;Emplear software estadísticos para test de bondad de ajuste, cálculo de  intervalos de confianza,regresiones, optimización factorial, segmentación  y clasificación de datos, entre otros.;Ninguna
ICI_4220-7;Comprender los modelos básicos de gestión de inventarios, así como los  principales trade-offs.;ING_1203-11;Aplicar conceptos de energía y trabajo.;Ninguna
ICE_5105-4;Conocer los alcances tecnológicos, regulatorios y de negocios del  sector eléctrico,tanto en la actualidad como en una perspectiva de largo  plazo.;ING_1102-2;Analizar las propiedades de la materia a partir del número de entidades  elementales aplicándolo en problemas de cálculo de masa molar, número de  átomos, número de moléculas, masa atómica relativa.;Ninguna
ICA_4230-5;Diseñar y ejecutar con éxito, a nivel de laboratorio una experiencia de cultivo  microbiano operado en la modalidad de cultivo continuo o cultivo por lotes  alimentados, siendo capaz de comparar los resultados experimentales con un  modelo de la operación del reactor.;ICA_3240-3;Reconocer los componentes más importantes en el crecimiento de  microorganismos, como son los factores ambientales, diseño de un medio de  cultivo, etc.;Alta
ING_1203-7;Identificar aceleraciones tangencial y centrípeta.;ING_1100-2;Comprender los conceptos de campo real ordenado y de funciones reales.;Baja
ICA_3210-2;Aplicar el fundamento teórico detrás de la transferencia de masa en la  solución de problemas.;IOC_3103-1;Aplica técnicas numéricas de interpolación, derivación, integración, solución de  sistemas lineales y no lineales, para resolver problemas de alta complejidad sin  solución algebraica.;Media
ING_1203-6;Diseñar diagramas de posición, velocidad para una o varias partículas.;ING_5203-2;Habilidad para hacer síntesis de gran cantidad de información durante la  revisión del estado del arte que sustente su tema de investigación.;Ninguna
ICI_5110-3;Analizar en una industria determinada si existen imperfecciones de mercado y a  qué se deben.;ICI_3204-3;Aplicar los conceptos básicos de la teoría microeconómica para analizar distintos  modelos matemáticos que explican el modo como interactúan consumidores y  productores en un mercado.;Media
ICI_5010-4;Realizar pronósticos de una serie de tiempo.;ICI_3102-3;Emplear software estadísticos para test de bondad de ajuste, cálculo de  intervalos de confianza,regresiones, optimización factorial, segmentación  y clasificación de datos, entre otros.;Ninguna
IOC_5106-6;"Identify the main characteristics of different market types; regarding civil works,  describe the nature of competitive behaviour in these markets, analyse and predict  price and output outcomes in the different markets;";ING_2104-6;Identificar y utilizar técnicas modernas de ingeniería para la resolución eficaz de  problemas de asignación de recursos.;Alta
ICE_3102-1;Entender los principios del análisis de las señales y los sistemas.;ING_2101-1;Reconocer las ecuaciones diferenciales ordinarias como una herramienta formal  para el modelamiento y estudio de fenómenos naturales.;Media
ICA_3220-2;Aplicar el fundamento teórico detrás de la transferencia de calor en la  solución de problemas.;ING_5206-6;Abordar Desafíos Éticos de la Tecnología: Enfrentar y mitigar los riesgos  éticos asociados con la tecnología, especialmente la inteligencia artificial,  asegurando su uso responsable y beneficioso para la sociedad.;Ninguna
ICI_3102-4;Identificar y aplicar el método de Montecarlo a los procesos industriales.;ING_2201-2;Identificar fenómenos de carácter aleatorio en procesos propios de la  ingeniería y utilizar métodos formales adecuados para su tratamiento.;Media
ICA_3210-1;Entender los fundamentos físicos de los fenómenos de transferencia de  masa.;ING_2101-1;Reconocer las ecuaciones diferenciales ordinarias como una herramienta formal  para el modelamiento y estudio de fenómenos naturales.;Alta
ICE_3102-1;Entender los principios del análisis de las señales y los sistemas.;ING_1102-6;Relacionar los principios básicos de configuración electrónica de átomos con sus  propiedades, su ubicación en la tabla periódica y las teorías de la estructura  atómica.;Ninguna
ING_1202-1;Resolver problemas referentes a continuidad de funciones reales, cálculo  diferencial e integral, series numéricas y series de funciones.;ING_1100-3;Entender los principales conceptos de la trigonometría resolviendo ecuaciones  trigonométricas.;Alta
ICI_3204-2;Entender el comportamiento de los distintos agentes que participan en el mercado  y la interacción que estos tienen con la estructura y el desempeño del mismo.;ICI_5110-2;Diseñar la estrategia de una empresa que se desempeña en un mercado  oligopólico o con imperfecciones.;Ninguna
ICC_4130-5;Deploy a web application to cloud infrastructure.;ICC_3100-4;Utilizar depuradores, bitácoras para trazar comportamiento e incidencias de los  programas, y herramientas de control de configuración para administrar el  desarrollo de un software.;Media
